Year	Revenue Type	State	Commodity	Product Description	Sales Volume
2012	Reported Royalties	Alabama	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	5341022.89
2012	Reported Royalties	Alabama	NGL (gal)	Gas Plant Products (gal)	32227805.89
2012	Reported Royalties	Alabama	Oil (bbl)	Condensate (bbl)	317.40
2012	Reported Royalties	Alabama	Oil (bbl)	Oil (bbl)	131.34
2012	Reported Royalties	Alabama	Oil (bbl)	Other Liquid Hydrocarbons (bbl)	8472.11
2012	Reported Royalties	Alabama	Other Products	Sulfur (lton)	80.69
2012	Non Revenue Volumes	Alabama	Gas (mcf)		1611108.19
2012	Non Revenue Volumes	Alabama	NGL (gal)		5957503.16
2011	Reported Royalties	Alabama	Gas (mcf)	Processed (Residue) Gas (mcf)	17176940.34
2011	Reported Royalties	Alabama	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	6806014.61
2011	Reported Royalties	Alabama	NGL (gal)	Gas Plant Products (gal)	38113568.60
2011	Reported Royalties	Alabama	Oil (bbl)	Condensate (bbl)	251.16
2011	Reported Royalties	Alabama	Oil (bbl)	Oil (bbl)	331.09
2011	Reported Royalties	Alabama	Oil (bbl)	Other Liquid Hydrocarbons (bbl)	8225.85
2011	Reported Royalties	Alabama	Other Products	Sulfur (lton)	129.37
2012	Reported Royalties	Mississippi	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	9481058.69
2012	Reported Royalties	Mississippi	Oil (bbl)	Condensate (bbl)	1042.14
2011	Reported Royalties	Mississippi	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	9676402.02
2011	Reported Royalties	Mississippi	Oil (bbl)	Condensate (bbl)	898.74
2011	Non Revenue Volumes	Louisiana	Gas (mcf)		985542.07
2011	Non Revenue Volumes	Louisiana	NGL (gal)		1506634.27
2011	Non Revenue Volumes	Louisiana	Oil (bbl)		-1861.58
2012	Reported Royalties	Louisiana	Gas (mcf)	Flash Gas (mcf)	35551.06
2012	Reported Royalties	Louisiana	Gas (mcf)	Processed (Residue) Gas (mcf)	39828343.56
2012	Reported Royalties	Louisiana	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	7973536.54
2012	Reported Royalties	Louisiana	NGL (gal)	Gas Plant Products (gal)	45630953.69
2012	Reported Royalties	Louisiana	Oil (bbl)	Condensate (bbl)	1060165.26
2012	Reported Royalties	Louisiana	Oil (bbl)	Drip or Scrubber Condensate (bbl)	19557.88
2012	Reported Royalties	Louisiana	Oil (bbl)	Inlet Scrubber (bbl)	4732.98
2012	Reported Royalties	Louisiana	Oil (bbl)	Oil (bbl)	4658884.46
2012	Non Revenue Volumes	Louisiana	Gas (mcf)		67462.56
2012	Non Revenue Volumes	Louisiana	NGL (gal)		129564.72
2011	Reported Royalties	Louisiana	Gas (mcf)	Flash Gas (mcf)	54384.59
2011	Reported Royalties	Louisiana	Gas (mcf)	Processed (Residue) Gas (mcf)	42376511.72
2011	Reported Royalties	Louisiana	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	5806298.84
2011	Reported Royalties	Louisiana	NGL (gal)	Gas Plant Products (gal)	51715837.18
2011	Reported Royalties	Louisiana	Oil (bbl)	Condensate (bbl)	817964.33
2011	Reported Royalties	Louisiana	Oil (bbl)	Drip or Scrubber Condensate (bbl)	14338.61
2011	Reported Royalties	Louisiana	Oil (bbl)	Inlet Scrubber (bbl)	5028.19
2011	Reported Royalties	Louisiana	Oil (bbl)	Oil (bbl)	5815929.24
2011	Reported Royalties	Louisiana	Oil (bbl)	Other Liquid Hydrocarbons (bbl)	-2050.83
2012	Reported Royalties	Texas	Gas (mcf)	Flash Gas (mcf)	7821.93
2012	Reported Royalties	Texas	Gas (mcf)	Processed (Residue) Gas (mcf)	4117597.45
2012	Reported Royalties	Texas	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	11847750.48
2012	Reported Royalties	Texas	NGL (gal)	Gas Plant Products (gal)	3425787.59
2012	Reported Royalties	Texas	Oil (bbl)	Condensate (bbl)	114750.22
2012	Reported Royalties	Texas	Oil (bbl)	Inlet Scrubber (bbl)	-131.70
2012	Reported Royalties	Texas	Oil (bbl)	Oil (bbl)	141242.84
2011	Reported Royalties	Texas	Gas (mcf)	Flash Gas (mcf)	41593.66
2011	Reported Royalties	Texas	Gas (mcf)	Processed (Residue) Gas (mcf)	4856180.44
2011	Reported Royalties	Texas	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	11173022.87
2011	Reported Royalties	Texas	NGL (gal)	Gas Plant Products (gal)	5961952.06
2011	Reported Royalties	Texas	Oil (bbl)	Condensate (bbl)	160159.24
2011	Reported Royalties	Texas	Oil (bbl)	Inlet Scrubber (bbl)	217.08
2011	Reported Royalties	Texas	Oil (bbl)	Oil (bbl)	211181.40
